title,visits,pI,year,month
[030] - Das Stadtmagazin für Berlin,40.828,164.518,2002,1
Aachener Nachrichten,86.970,352.269,2002,1
Aachener Zeitung,110.139,533.396,2002,1
abenteuer und reisen,136.128,893.070,2002,1
Absatzwirtschaft-Online,29.706,115.991,2002,1
Aerzte Zeitung Online,253.712,1.304.751,2002,1
Agenturcafe,29.362,99.834,2002,1
Allegra,332.476,4.658.500,2002,1
Allesklar,1.496.320,5.394.715,2002,1
almeda.de - Ihr Gesundheitsnetz,252.004,1.204.425,2002,1
AMICA Online,1.746.167,16.780.950,2002,1
AOL2 Homepage,15.122.138,103.618.350,2002,1
ARIVA.DE,765.661,6.881.306,2002,1
ASTROWOCHE,661.020,4.405.467,2002,1
AUDIMAX - Online,32.696,110.209,2002,1
Augsburger Allgemeine Online,202.399,1.512.620,2002,1
ausderluft,99.091,1.238.150,2002,1
Auto Bild Online,687.268,5.191.817,2002,1
Autohandel-Net,43.177,474.624,2002,1
Autohaus Online,92.148,542.006,2002,1
Baden Online,90.859,927.089,2002,1
baden24.de,138.064,1.053.890,2002,1
Badische Zeitung Online,211.478,1.311.504,2002,1
Beig Verlag,1.124,4.510,2002,1
Bellevue (Tomorrow- Networld),94.088,1.370.795,2002,1
Berlin 1,1.680.355,15.839.883,2002,1
BerlinOnline,1.829.024,11.844.835,2002,1
Bild der Wissenschaft online,326.675,1.288.503,2002,1
Bild Online,7.334.374,99.615.901,2002,1
bildschirmschoner.de,610.112,7.822.446,2002,1
bizz.de,34.888,99.919,2002,1
boerse-online.de,891.462,4.653.413,2002,1
boerse.de,1.420.666,8.309.521,2002,1
Bonn XXL,17.326,53.565,2002,1
Bonner Illustrierte,22.071,139.647,2002,1
Bonnsite,31.105,140.792,2002,1
BRAVO.de,1.373.516,14.964.507,2002,1
Bremer Nachrichten Online,14.557,39.395,2002,1
Brigitte u. Brigitte Young Miss,1.271.936,14.616.072,2002,1
Business-Guide,116.775,769.844,2002,1
Business-Suchdienst,51.000,112.439,2002,1
capital.de,98.064,319.922,2002,1
CHART-RADIO,388.591,2.091.726,2002,1
CHIP Online,6.510.323,47.400.347,2002,1
ciao.com,915.592,14.127.667,2002,1
CINA,52.918,381.733,2002,1
CINEMA Online,756.702,7.363.769,2002,1
City-Guide,166.660,689.610,2002,1
CityInfoNetz,173.212,808.660,2002,1
cityweb,832.686,2.797.479,2002,1
Computer Channel,4.986.199,35.627.877,2002,1
Computer Partner Online,85.971,270.162,2002,1
Computerwoche Online,430.625,1.489.496,2002,1
condomi.com,53.036,108.149,2002,1
Coupé Online,4.015.480,71.762.410,2002,1
de.internet.com,81.410,213.413,2002,1
deltaradio,136.816,719.074,2002,1
Der Betrieb Online,12.691,55.839,2002,1
deutsche getränke wirtschaft,609,2.306,2002,1
Deutsche Standards,13.897,29.944,2002,1
Deutsches Ärzteblatt - online,126.036,1.230.301,2002,1
Deutsches Entertainment Magazin,819.808,3.004.945,2002,1
DEWEZET.de,79.427,394.413,2002,1
DHD24 Online Kleinanzeigen-Datenbank,906.477,8.281.165,2002,1
DIE WELT online,3.605.231,16.227.914,2002,1
Die Wochenshow Online,58.416,524.466,2002,1
dk-online (Delmenhorster Kreisblatt),14.897,57.295,2002,1
DMEuro.com,567.970,2.686.672,2002,1
Donau.de,98.661,681.154,2002,1
donaukurier.de,49.737,275.676,2002,1
Düsseldorf Diskret,18.021,109.148,2002,1
Echo Online,128.126,851.923,2002,1
eComments.de,43.902,333.399,2002,1
Edgar,2.060.997,11.578.800,2002,1
EFF 21 - Der Event- und Freizeitfinder,21.002,140.376,2002,1
EifelLive,6.175,25.180,2002,1
Elektroniknet,90.945,271.748,2002,1
ELLE,161.024,1.235.315,2002,1
Eltern.de,438.617,9.111.239,2002,1
ENERGY Sachsen,42.816,210.374,2002,1
Evita,898.717,4.813.480,2002,1
Express Online,1.409.689,8.446.378,2002,1
F1-Plus,100.446,434.411,2002,1
Falk online,1.627.473,16.681.320,2002,1
Fashionseek.net,11.614,32.210,2002,1
FAZ.NET,1.589.751,11.039.182,2002,1
Financial Times Deutschland,1.877.159,6.306.271,2002,1
finanzen.net - Internetservice für Kapitalanleger,463.486,2.183.646,2002,1
Finanztreff.de,3.436.346,25.597.428,2002,1
FIT FOR FUN Online,573.986,4.409.409,2002,1
FOCUS ONLINE,7.643.318,75.239.367,2002,1
FOCUS-MONEY ONLINE,198.269,1.079.253,2002,1
Forum-Verlag online/Forum Architektur,385,901,2002,1
Fränkischer Tag Online,65.999,238.083,2002,1
Frankenpost online,97.933,475.173,2002,1
Frankfurter Rundschau online,646.431,4.568.226,2002,1
Freie Presse Online,318.527,2.034.058,2002,1
freundin online,536.038,4.649.840,2002,1
funcity,16.570,254.107,2002,1
Funkschau,24.720,91.493,2002,1
GALA Online,40.514,216.480,2002,1
GameStar,1.966.201,15.769.791,2002,1
gamigo.de,3.926.404,43.035.754,2002,1
General-Anzeiger Online,374.818,2.976.393,2002,1
General-Anzeiger-Rhauderfehn,27.970,84.746,2002,1
GENIOS Internet,15.319,115.945,2002,1
GEO Explorer/GEO Saison Traveller,486.520,2.513.595,2002,1
