title,visits,year,month
[030] - Das Stadtmagazin für Berlin,40.828,2002,1
Aachener Nachrichten,86.970,2002,1
Aachener Zeitung,110.139,2002,1
abenteuer und reisen,136.128,2002,1
Absatzwirtschaft-Online,29.706,2002,1
Aerzte Zeitung Online,253.712,2002,1
Agenturcafe,29.362,2002,1
Allegra,332.476,2002,1
Allesklar,1.496.320,2002,1
almeda.de - Ihr Gesundheitsnetz,252.004,2002,1
AMICA Online,1.746.167,2002,1
AOL2 Homepage,15.122.138,2002,1
ARIVA.DE,765.661,2002,1
ASTROWOCHE,661.020,2002,1
AUDIMAX - Online,32.696,2002,1
Augsburger Allgemeine Online,202.399,2002,1
ausderluft,99.091,2002,1
Auto Bild Online,687.268,2002,1
Autohandel-Net,43.177,2002,1
Autohaus Online,92.148,2002,1
Baden Online,90.859,2002,1
baden24.de,138.064,2002,1
Badische Zeitung Online,211.478,2002,1
Beig Verlag,1.124,2002,1
Bellevue (Tomorrow- Networld),94.088,2002,1
Berlin 1,1.680.355,2002,1
BerlinOnline,1.829.024,2002,1
Bild der Wissenschaft online,326.675,2002,1
Bild Online,7.334.374,2002,1
bildschirmschoner.de,610.112,2002,1
bizz.de,34.888,2002,1
boerse-online.de,891.462,2002,1
boerse.de,1.420.666,2002,1
Bonn XXL,17.326,2002,1
Bonner Illustrierte,22.071,2002,1
Bonnsite,31.105,2002,1
BRAVO.de,1.373.516,2002,1
Bremer Nachrichten Online,14.557,2002,1
Brigitte u. Brigitte Young Miss,1.271.936,2002,1
Business-Guide,116.775,2002,1
Business-Suchdienst,51.000,2002,1
capital.de,98.064,2002,1
CHART-RADIO,388.591,2002,1
CHIP Online,6.510.323,2002,1
ciao.com,915.592,2002,1
CINA,52.918,2002,1
CINEMA Online,756.702,2002,1
City-Guide,166.660,2002,1
CityInfoNetz,173.212,2002,1
cityweb,832.686,2002,1
Computer Channel,4.986.199,2002,1
Computer Partner Online,85.971,2002,1
Computerwoche Online,430.625,2002,1
condomi.com,53.036,2002,1
Coupé Online,4.015.480,2002,1
de.internet.com,81.410,2002,1
deltaradio,136.816,2002,1
Der Betrieb Online,12.691,2002,1
deutsche getränke wirtschaft,609,2002,1
Deutsche Standards,13.897,2002,1
Deutsches Ärzteblatt - online,126.036,2002,1
Deutsches Entertainment Magazin,819.808,2002,1
DEWEZET.de,79.427,2002,1
DHD24 Online Kleinanzeigen-Datenbank,906.477,2002,1
DIE WELT online,3.605.231,2002,1
Die Wochenshow Online,58.416,2002,1
dk-online (Delmenhorster Kreisblatt),14.897,2002,1
DMEuro.com,567.970,2002,1
Donau.de,98.661,2002,1
donaukurier.de,49.737,2002,1
Düsseldorf Diskret,18.021,2002,1
Echo Online,128.126,2002,1
eComments.de,43.902,2002,1
Edgar,2.060.997,2002,1
EFF 21 - Der Event- und Freizeitfinder,21.002,2002,1
EifelLive,6.175,2002,1
Elektroniknet,90.945,2002,1
ELLE,161.024,2002,1
Eltern.de,438.617,2002,1
ENERGY Sachsen,42.816,2002,1
Evita,898.717,2002,1
Express Online,1.409.689,2002,1
F1-Plus,100.446,2002,1
Falk online,1.627.473,2002,1
Fashionseek.net,11.614,2002,1
FAZ.NET,1.589.751,2002,1
Financial Times Deutschland,1.877.159,2002,1
finanzen.net - Internetservice für Kapitalanleger,463.486,2002,1
Finanztreff.de,3.436.346,2002,1
FIT FOR FUN Online,573.986,2002,1
FOCUS ONLINE,7.643.318,2002,1
FOCUS-MONEY ONLINE,198.269,2002,1
Forum-Verlag online/Forum Architektur,385,2002,1
Fränkischer Tag Online,65.999,2002,1
Frankenpost online,97.933,2002,1
Frankfurter Rundschau online,646.431,2002,1
Freie Presse Online,318.527,2002,1
freundin online,536.038,2002,1
funcity,16.570,2002,1
Funkschau,24.720,2002,1
GALA Online,40.514,2002,1
GameStar,1.966.201,2002,1
gamigo.de,3.926.404,2002,1
General-Anzeiger Online,374.818,2002,1
General-Anzeiger-Rhauderfehn,27.970,2002,1
GENIOS Internet,15.319,2002,1
GEO Explorer/GEO Saison Traveller,486.520,2002,1
GERMAN HOT 100 COMPANY TRACKER,13.223,2002,1
Gesundheit-aktuell - Ihr Online...,15.786,2002,1
GMX,66.766.019,2002,1
Golfgui.de - Das Golf-Portal,1.523,2002,1
Grafschafter Nachrichten online,21.727,2002,1
GRIN Global Research & Information Network,226.046,2002,1
Guter Rat ! - Das Magazin im Netz,94.191,2002,1
GZ online,31.190,2002,1
Hamburger Morgenpost Online,543.088,2002,1
Handelsblatt Junge Karriere,196.572,2002,1
Handelsblatt.com,2.358.357,2002,1
handy.de,1.447.899,2002,1
happyYuppie.com,47.600,2002,1
Harburger Anzeigen und Nachrichten,25.202,2002,1
HAUS+GARTEN ONLINE,156.728,2002,1
hausarbeiten.de,1.068.683,2002,1
Heidenheimer Zeitung online,22.192,2002,1
Heilbronner Stimme online,185.677,2002,1
heise online,15.983.918,2002,1
Hightext iBusiness,196.177,2002,1
HitMachine.de,16.435,2002,1
hitradio Antenne1,226.754,2002,1
Hitradioworld,11.351,2002,1
Hochschulanzeiger.de,52.911,2002,1
HORIZONT.NET,312.138,2002,1
"HUNDERT,6 Das Berlin Radio",16.727,2002,1
Idowa Online,39.072,2002,1
IKZ Online,17.418,2002,1
IKZ-HAUSTECHNIK-Online,15.527,2002,1
impulse.de,19.705,2002,1
INTERNET-MAGAZIN,59.924,2002,1
Internetcologne,874.805,2002,1
INTRINET,165.889,2002,1
Jesus-online,78.842,2002,1
Jesus.de,420.762,2002,1
Joe-Max,934,2002,1
Kabel 1,369.880,2002,1
Kamelle,24.272,2002,1
kicker online,1.727.117,2002,1
KISS FM,54.687,2002,1
KN-Online,89.913,2002,1
Köln Diskret,71.214,2002,1
Koeln.de,812.842,2002,1
Kölner Stadt-Anzeiger Online,521.080,2002,1
Kölnische Rundschau,139.890,2002,1
Koelnverkehr,30.272,2002,1
Kontaktanzeigen.de,339.110,2002,1
