title,visits,year,month
1&1 Internet AG *,---,2009,11
1. FC Nürnberg,644.765,2009,11
102.2 Radio Essen,97.695,2009,11
104.6rtl.com,167.396,2009,11
106!8 rock´n pop,105.217,2009,11
106.2 Radio Oberhausen,15.494,2009,11
107.7 Radio Hagen,43.063,2009,11
11freunde.de *,---,2009,11
123people.de,10.450.802,2009,11
3min *,---,2009,11
4men,812,2009,11
4Players.de *,---,2009,11
4Trips,1.058.915,2009,11
4WheelFun,72.469,2009,11
90.8 Radio Herne,17.943,2009,11
"90elf, Dein Fußball-Radio",401.592,2009,11
92.9 Radio Mülheim,14.225,2009,11
95.5 Charivari - Münchens Hit-Radio,128.877,2009,11
98.5 Radio Bochum,39.804,2009,11
98.7 Radio Emscher Lippe,52.867,2009,11
[030] - Das Stadtmagazin für Berlin,65.404,2009,11
Aachener Nachrichten,404.813,2009,11
Aachener Zeitung,657.829,2009,11
ab-in-den-urlaub.de,3.253.044,2009,11
Abacho,2.136.316,2009,11
Abendzeitung,1.420.961,2009,11
abenteuer und reisen,58.024,2009,11
Absatzwirtschaft-Online,67.075,2009,11
ad-hoc-news,977.538,2009,11
administrator.de,1.788.955,2009,11
Ärzte Zeitung Online,1.055.210,2009,11
Ärztenachrichtendienst,320.562,2009,11
AGOF - Summe der nur geprüften Angebote,659.142.003,2009,11
agrarheute.com,340.845,2009,11
agrarzeitung | online,170.045,2009,11
ahgz.de - Allgemeine Hotel- und...,322.440,2009,11
Ahlener-Zeitung,105.982,2009,11
AIRLINE DIRECT - discover online travel,696.188,2009,11
airliners.de Luftverkehrs-Branchenportal,476.340,2009,11
AIS-Online,427.787,2009,11
aktiencheck.de *,---,2009,11
Alice,7.478.694,2009,11
all4finance.de,51.851,2009,11
alle-autos-in.de,299.297,2009,11
Allgäuer Zeitung Onlineangebot,709.375,2009,11
Allgemeine Zeitung,72.554,2009,11
Allgemeine Zeitung Uelzen Online,156.503,2009,11
Allgemeiner-Anzeiger.de,12.951,2009,11
Alpin,56.379,2009,11
animeMANGA,297.269,2009,11
anotherdate.de,18.032,2009,11
Antenne Bayern,1.785.551,2009,11
ANTENNE DÜSSELDORF,104.185,2009,11
ANTENNE MÜNSTER,27.051,2009,11
ANTENNE NIEDERRHEIN,25.395,2009,11
ANTENNE THÜRINGEN,301.982,2009,11
Antenne Unna,34.422,2009,11
anwalt24.de,185.335,2009,11
AOL,74.772.659,2009,11
apotheke.com,63.197,2009,11
apotheken-umschau.de,2.382.427,2009,11
Arcor.de,41.983.701,2009,11
AreaGames,611.591,2009,11
Areamobile.de,1.517.418,2009,11
ARIVA.DE,4.247.657,2009,11
Arminia Bielefeld,279.587,2009,11
art - das Kunstmagazin,190.822,2009,11
